User ID Date Description Credit (Rs.) Debit (Rs.) Balance (Rs.)
"IN04 0001 2345 6789 03/01/2024 Uber Ride 461.64 44,738.36"
"IN04 0005 6789 0123 31/05/2024 ATM Withdrawal 293.89 3,107.28"
"IN04 0005 6789 0123 01/06/2024 Cafe Coffee Day 1,162.30 1,944.98"
"IN04 0005 6789 0123 02/06/2024 Amazon Purchase 146.43 1,798.55"
"IN04 0005 6789 0123 02/06/2024 Electricity Bill 261.70 1,536.85"
"IN04 0005 6789 0123 06/06/2024 Hotstar 339.42 1,197.43"
"IN04 0005 6789 0123 06/06/2024 ATM Withdrawal 78.64 1,118.79"
IN04 0005 6789 0123 07/06/2024 Cash Deposit 159.12 959.67
IN04 0005 6789 0123 07/06/2024 Hotstar 247.37 712.30
IN04 0005 6789 0123 08/06/2024 Mobile Recharge 54.11 658.19
IN04 0005 6789 0123 10/06/2024 Gas Bill 83.80 574.39
"IN04 0005 6789 0123 11/06/2024 NEFT Inward 8,798.39 9,372.78"
"IN04 0005 6789 0123 12/06/2024 Postpaid Bill 690.24 8,682.54"
"IN04 0005 6789 0123 13/06/2024 Gym Membership 475.16 8,207.38"
"IN04 0005 6789 0123 13/06/2024 Mutual Fund SIP 548.91 7,658.47"
"IN04 0005 6789 0123 14/06/2024 Freelance Payment 10,291.85 17,950.32"
"IN04 0005 6789 0123 15/06/2024 ATM Withdrawal 1,014.61 16,935.71"
"IN04 0005 6789 0123 15/06/2024 ATM Withdrawal 8,683.89 8,251.82"
"IN04 0005 6789 0123 16/06/2024 Prime Video 629.90 7,621.92"
"IN04 0005 6789 0123 17/06/2024 Myntra Order 2,044.39 5,577.53"
"IN04 0005 6789 0123 19/06/2024 Myntra Order 357.81 5,219.72"
"IN04 0005 6789 0123 19/06/2024 BookMyShow 304.01 4,915.71"
"IN04 0005 6789 0123 19/06/2024 EMI Debit 274.40 4,641.31"
"IN04 0005 6789 0123 20/06/2024 Flight Ticket - IndiGo 265.53 4,375.78"
"IN04 0005 6789 0123 21/06/2024 UPI Received 4,002.51 8,378.29"
"IN04 0005 6789 0123 21/06/2024 IMPS Transfer 599.26 7,779.03"
"IN04 0005 6789 0123 22/06/2024 Prime Video 352.12 7,426.91"
"IN04 0005 6789 0123 23/06/2024 PPF Contribution 383.15 7,043.76"
"IN04 0005 6789 0123 23/06/2024 Freelance Payment 54,317.22 61,360.98"
"IN04 0005 6789 0123 23/06/2024 Internet Bill 2,881.05 58,479.93"
"IN04 0005 6789 0123 24/06/2024 Grocery - BigBasket 1,792.16 56,687.77"
"IN04 0005 6789 0123 24/06/2024 Bus Pass 1,283.82 55,403.95"
"IN04 0005 6789 0123 25/06/2024 Internet Bill 4,932.61 50,471.34"
"IN04 0005 6789 0123 25/06/2024 Loan Repayment 15,564.65 34,906.69"
"IN04 0005 6789 0123 25/06/2024 Gym Membership 10,459.83 24,446.86"
"IN04 0005 6789 0123 26/06/2024 Pharmacy Purchase 18,954.35 5,492.51"
"IN04 0005 6789 0123 27/06/2024 Loan Repayment 405.21 5,087.30"
"IN04 0005 6789 0123 27/06/2024 Flipkart Order 295.74 4,791.56"
"IN04 0005 6789 0123 27/06/2024 Swiggy Order 1,879.05 2,912.51"
"IN04 0005 6789 0123 28/06/2024 EMI Debit 236.18 2,676.33"
"IN04 0005 6789 0123 28/06/2024 Freelance Payment 40,974.20 43,650.53"
"IN04 0005 6789 0123 28/06/2024 Dividend Credit 57,341.15 100,991.68"
"IN04 0005 6789 0123 29/06/2024 Cafe Coffee Day 540.25 100,451.43"
"IN04 0005 6789 0123 29/06/2024 Insurance Premium 10,855.32 89,596.11"
"IN04 0005 6789 0123 29/06/2024 Postpaid Bill 1,149.28 88,446.83"
"IN04 0005 6789 0123 30/06/2024 Postpaid Bill 1,431.17 87,015.66"
"IN04 0005 6789 0123 02/07/2024 DTH Recharge 4,528.61 82,487.05"
"IN04 0005 6789 0123 02/07/2024 Electricity Bill 1,898.55 80,588.50"
"IN04 0005 6789 0123 02/07/2024 DTH Recharge 1,831.13 78,757.37"
"IN04 0005 6789 0123 04/07/2024 RD Installment 8,938.96 69,818.41"
"IN04 0005 6789 0123 04/07/2024 Myntra Order 13,727.87 56,090.54"
"IN04 0005 6789 0123 04/07/2024 Bus Pass 2,559.79 53,530.75"
"IN04 0005 6789 0123 06/07/2024 Gym Membership 5,941.55 47,589.20"
"IN04 0005 6789 0123 06/07/2024 Ola Ride 2,227.18 45,362.02"
"IN04 0005 6789 0123 07/07/2024 Fuel - HPCL 2,790.87 42,571.15"
"IN04 0005 6789 0123 07/07/2024 ATM Withdrawal 18,740.58 23,830.57"
"IN04 0005 6789 0123 07/07/2024 GST Refund 334.61 24,165.18"
"IN04 0005 6789 0123 09/07/2024 BookMyShow 594.80 23,570.38"
"IN04 0005 6789 0123 09/07/2024 Grocery - BigBasket 2,234.27 21,336.11"
"IN04 0005 6789 0123 09/07/2024 Internet Bill 1,837.21 19,498.90"
"IN04 0005 6789 0123 11/07/2024 Stock Purchase 4,694.82 14,804.08"
"IN04 0005 6789 0123 11/07/2024 Freelance Payment 35,803.93 50,608.01"
"IN04 0005 6789 0123 11/07/2024 GST Refund 84.21 50,692.22"
"IN04 0005 6789 0123 12/07/2024 Metro Card Recharge 1,216.31 49,475.91"
"IN04 0005 6789 0123 12/07/2024 Lab Test 8,624.00 40,851.91"
"IN04 0005 6789 0123 13/07/2024 Rental Income 13,152.12 54,004.03"
"IN04 0005 6789 0123 14/07/2024 Cash Deposit 3,655.77 50,348.26"
"IN04 0005 6789 0123 14/07/2024 Prime Video 107.14 50,241.12"
"IN04 0005 6789 0123 14/07/2024 Refund - Flipkart 597.79 50,838.91"
"IN04 0005 6789 0123 15/07/2024 Zomato Order 1,034.80 49,804.11"
"IN04 0005 6789 0123 15/07/2024 Broadband Bill 1,361.30 48,442.81"
"IN04 0005 6789 0123 16/07/2024 ATM Withdrawal 18,993.33 29,449.48"
"IN04 0005 6789 0123 17/07/2024 Mall Shopping 7,438.20 22,011.28"
"IN04 0005 6789 0123 17/07/2024 Stock Purchase 16,581.94 5,429.34"
"IN04 0005 6789 0123 18/07/2024 Bonus Credit 14,856.33 20,285.67"
"IN04 0005 6789 0123 18/07/2024 Amazon Purchase 2,066.63 18,219.04"
"IN04 0005 6789 0123 18/07/2024 Hotstar 118.12 18,100.92"
"IN04 0005 6789 0123 19/07/2024 Grocery - BigBasket 1,119.79 16,981.13"
"IN04 0005 6789 0123 21/07/2024 FD Opening 874.75 16,106.38"
"IN04 0005 6789 0123 21/07/2024 Hotel Booking 953.88 15,152.50"
"IN04 0005 6789 0123 21/07/2024 Water Bill 1,477.58 13,674.92"
"IN04 0005 6789 0123 23/07/2024 Mobile Recharge 1,032.53 12,642.39"
"IN04 0005 6789 0123 23/07/2024 Hotel Booking 790.84 11,851.55"
"IN04 0005 6789 0123 25/07/2024 Bus Pass 1,905.28 9,946.27"
"IN04 0005 6789 0123 26/07/2024 Ola Ride 440.27 9,506.00"
"IN04 0005 6789 0123 28/07/2024 Uber Ride 1,307.59 8,198.41"
"IN04 0005 6789 0123 28/07/2024 NEFT Outward 3,819.23 12,017.64"
"IN04 0005 6789 0123 29/07/2024 Rental Income 57,511.91 69,529.55"
"IN04 0005 6789 0123 29/07/2024 Uber Ride 1,041.72 68,487.83"
"IN04 0005 6789 0123 29/07/2024 Mutual Fund SIP 25,738.25 42,749.58"
"IN04 0005 6789 0123 31/07/2024 Myntra Order 5,580.93 37,168.65"
"IN04 0005 6789 0123 31/07/2024 Prime Video 445.00 36,723.65"
"IN04 0005 6789 0123 02/08/2024 Swiggy Order 206.16 36,517.49"
"IN04 0005 6789 0123 03/08/2024 Fuel - HPCL 1,442.57 35,074.92"
"IN04 0005 6789 0123 03/08/2024 Refund - Amazon 2,182.99 37,257.91"
"IN04 0005 6789 0123 04/08/2024 FD Opening 17,046.97 20,210.94"
"IN04 0005 6789 0123 04/08/2024 Amazon Purchase 10,100.42 10,110.52"
"IN04 0005 6789 0123 05/08/2024 BookMyShow 1,137.55 8,972.97"
"IN04 0005 6789 0123 06/08/2024 Postpaid Bill 839.94 8,133.03"
"IN04 0005 6789 0123 06/08/2024 Spotify Premium 1,010.00 7,123.03"
"IN04 0005 6789 0123 07/08/2024 UPI Received 3,671.80 10,794.83"
"IN04 0005 6789 0123 10/08/2024 Metro Card Recharge 2,780.23 8,014.60"
"IN04 0005 6789 0123 12/08/2024 Gym Membership 449.11 7,565.49"
"IN04 0005 6789 0123 12/08/2024 Mobile Recharge 160.38 7,405.11"
"IN04 0005 6789 0123 13/08/2024 Bus Booking 549.66 6,855.45"
"IN04 0005 6789 0123 14/08/2024 Cashback Credit 2,269.99 9,125.44"
"IN04 0005 6789 0123 14/08/2024 Mobile Recharge 1,375.10 7,750.34"
"IN04 0005 6789 0123 16/08/2024 Bus Booking 493.25 7,257.09"
"IN04 0005 6789 0123 16/08/2024 Zomato Order 1,529.95 5,727.14"
"IN04 0005 6789 0123 16/08/2024 Mobile Recharge 504.81 5,222.33"
"IN04 0005 6789 0123 18/08/2024 Broadband Bill 792.53 4,429.80"
"IN04 0005 6789 0123 20/08/2024 PPF Contribution 379.57 4,050.23"
"IN04 0005 6789 0123 21/08/2024 IMPS Transfer 8,435.60 12,485.83"
"IN04 0005 6789 0123 21/08/2024 NEFT Outward 23,766.09 36,251.92"
"IN04 0005 6789 0123 21/08/2024 GST Refund 2,543.90 38,795.82"
"IN04 0005 6789 0123 22/08/2024 Hospital Bill 5,997.64 32,798.18"
"IN04 0005 6789 0123 22/08/2024 Health Insurance 2,470.16 30,328.02"
"IN04 0005 6789 0123 23/08/2024 Cafe Coffee Day 656.48 29,671.54"
"IN04 0005 6789 0123 25/08/2024 Cashback Credit 4,639.88 34,311.42"
"IN04 0005 6789 0123 26/08/2024 Insurance Premium 9,814.99 24,496.43"
"IN04 0005 6789 0123 26/08/2024 Uber Ride 1,627.06 22,869.37"
"IN04 0005 6789 0123 28/08/2024 Cash Deposit 6,828.96 16,040.41"
"IN04 0005 6789 0123 28/08/2024 Postpaid Bill 468.92 15,571.49"
"IN04 0005 6789 0123 29/08/2024 Bus Booking 9,058.39 6,513.10"
"IN04 0005 6789 0123 01/09/2024 Fuel - HPCL 571.37 5,941.73"
"IN04 0005 6789 0123 01/09/2024 Cafe Coffee Day 1,670.71 4,271.02"
"IN04 0005 6789 0123 03/09/2024 Cash Deposit 344.07 3,926.95"
"IN04 0005 6789 0123 03/09/2024 Freelance Payment 66,263.53 70,190.48"
"IN04 0005 6789 0123 03/09/2024 Fuel - HPCL 842.94 69,347.54"
"IN04 0005 6789 0123 04/09/2024 Internet Bill 1,235.44 68,112.10"
"IN04 0005 6789 0123 04/09/2024 Broadband Bill 615.46 67,496.64"
"IN04 0005 6789 0123 04/09/2024 GST Refund 513.77 68,010.41"
"IN04 0005 6789 0123 05/09/2024 Stock Purchase 40,872.10 27,138.31"
"IN04 0005 6789 0123 06/09/2024 Bus Pass 1,497.03 25,641.28"
"IN04 0005 6789 0123 07/09/2024 Cash Deposit 910.42 24,730.86"
"IN04 0005 6789 0123 08/09/2024 Refund - Flipkart 4,096.62 28,827.48"
"IN04 0005 6789 0123 09/09/2024 Flipkart Order 1,266.32 27,561.16"
"IN04 0005 6789 0123 10/09/2024 RD Installment 5,461.57 22,099.59"
"IN04 0005 6789 0123 11/09/2024 Mobile Recharge 944.21 21,155.38"
"IN04 0005 6789 0123 12/09/2024 Flight Ticket - IndiGo 3,568.05 17,587.33"
"IN04 0005 6789 0123 12/09/2024 Swiggy Order 399.87 17,187.46"
"IN04 0005 6789 0123 12/09/2024 EMI Debit 8,762.04 8,425.42"
"IN04 0005 6789 0123 16/09/2024 Insurance Premium 3,433.66 4,991.76"
"IN04 0005 6789 0123 16/09/2024 PPF Contribution 414.53 4,577.23"
"IN04 0005 6789 0123 17/09/2024 Prime Video 315.47 4,261.76"
"IN04 0005 6789 0123 17/09/2024 Cafe Coffee Day 1,754.74 2,507.02"
"IN04 0005 6789 0123 22/09/2024 Meesho 214.26 2,292.76"
"IN04 0005 6789 0123 22/09/2024 Zomato Order 138.08 2,154.68"
"IN04 0005 6789 0123 23/09/2024 Hotel Booking 172.23 1,982.45"
"IN04 0005 6789 0123 23/09/2024 GST Refund 3,449.49 5,431.94"
"IN04 0005 6789 0123 23/09/2024 Mobile Recharge 788.04 4,643.90"
"IN04 0005 6789 0123 25/09/2024 Myntra Order 359.18 4,284.72"
"IN04 0005 6789 0123 27/09/2024 Refund - Amazon 4,483.15 8,767.87"
"IN04 0005 6789 0123 27/09/2024 NEFT Outward 562.32 8,205.55"
"IN04 0005 6789 0123 28/09/2024 Gas Bill 3,161.32 5,044.23"
"IN04 0005 6789 0123 28/09/2024 Lab Test 313.72 4,730.51"
"IN04 0005 6789 0123 28/09/2024 FD Opening 400.56 4,329.95"
"IN04 0005 6789 0123 01/10/2024 Credit Card Payment 254.58 4,075.37"
"IN04 0005 6789 0123 02/10/2024 Broadband Bill 1,240.32 2,835.05"
"IN04 0005 6789 0123 02/10/2024 Meesho 289.83 2,545.22"
"IN04 0005 6789 0123 02/10/2024 Electricity Bill 1,682.96 862.26"
IN04 0005 6789 0123 03/10/2024 Internet Bill 147.01 715.25
IN04 0005 6789 0123 04/10/2024 Broadband Bill 166.72 548.53
IN04 0005 6789 0123 04/10/2024 Water Bill 141.80 406.73
"IN04 0005 6789 0123 04/10/2024 Dividend Credit 41,945.11 42,351.84"
"IN04 0005 6789 0123 05/10/2024 Flight Ticket - IndiGo 17,554.63 24,797.21"
"IN04 0005 6789 0123 06/10/2024 Dividend Credit 63,244.44 88,041.65"
"IN04 0005 6789 0123 06/10/2024 Credit Card Payment 7,360.69 80,680.96"
"IN04 0005 6789 0123 06/10/2024 Flipkart Order 5,553.30 75,127.66"
"IN04 0005 6789 0123 07/10/2024 Insurance Premium 5,754.78 69,372.88"
"IN04 0005 6789 0123 08/10/2024 Electricity Bill 391.93 68,980.95"
"IN04 0005 6789 0123 08/10/2024 BookMyShow 1,288.10 67,692.85"
"IN04 0005 6789 0123 08/10/2024 Life Insurance 4,773.11 62,919.74"
"IN04 0005 6789 0123 09/10/2024 Term Plan 4,016.21 58,903.53"
"IN04 0005 6789 0123 10/10/2024 Zomato Order 363.71 58,539.82"
"IN04 0005 6789 0123 11/10/2024 Flight Ticket - IndiGo 20,974.84 37,564.98"
"IN04 0005 6789 0123 12/10/2024 Netflix Subscription 1,081.66 36,483.32"
"IN04 0005 6789 0123 12/10/2024 ATM Withdrawal 9,798.12 26,685.20"
"IN04 0005 6789 0123 12/10/2024 NEFT Outward 1,401.39 28,086.59"
"IN04 0005 6789 0123 14/10/2024 Amazon Purchase 8,623.91 19,462.68"
"IN04 0005 6789 0123 15/10/2024 Water Bill 2,401.85 17,060.83"
"IN04 0005 6789 0123 15/10/2024 DTH Recharge 3,522.96 13,537.87"
"IN04 0005 6789 0123 15/10/2024 Gym Membership 8,289.30 5,248.57"
"IN04 0005 6789 0123 16/10/2024 Mutual Fund SIP 302.05 4,946.52"
"IN04 0005 6789 0123 16/10/2024 Refund - Amazon 3,040.66 7,987.18"
"IN04 0005 6789 0123 17/10/2024 Freelance Payment 5,815.07 13,802.25"
"IN04 0005 6789 0123 18/10/2024 Cash Deposit 857.72 12,944.53"
"IN04 0005 6789 0123 18/10/2024 Cashback Credit 3,561.30 16,505.83"
"IN04 0005 6789 0123 18/10/2024 Hotel Booking 8,373.28 8,132.55"
"IN04 0005 6789 0123 20/10/2024 Water Bill 2,061.97 6,070.58"
"IN04 0005 6789 0123 20/10/2024 Zomato Order 1,029.34 5,041.24"
"IN04 0005 6789 0123 20/10/2024 Insurance Premium 351.06 4,690.18"
"IN04 0005 6789 0123 21/10/2024 Cash Deposit 275.83 4,414.35"
"IN04 0005 6789 0123 21/10/2024 Loan Repayment 267.72 4,146.63"
"IN04 0005 6789 0123 25/10/2024 IMPS Transfer 1,316.34 5,462.97"
"IN04 0005 6789 0123 25/10/2024 Salary Credit 9,898.94 15,361.91"
"IN04 0005 6789 0123 27/10/2024 Bus Pass 645.09 14,716.82"
"IN04 0005 6789 0123 27/10/2024 Refund - Amazon 1,239.66 15,956.48"
"IN04 0005 6789 0123 30/10/2024 Swiggy Order 841.28 15,115.20"
"IN04 0005 6789 0123 30/10/2024 Pharmacy Purchase 908.58 14,206.62"
"IN04 0005 6789 0123 30/10/2024 Bus Booking 6,088.05 8,118.57"
"IN04 0005 6789 0123 31/10/2024 Broadband Bill 1,463.36 6,655.21"
"IN04 0005 6789 0123 31/10/2024 Postpaid Bill 235.43 6,419.78"
"IN04 0005 6789 0123 31/10/2024 Bus Booking 3,299.79 3,119.99"
"IN04 0005 6789 0123 01/11/2024 Cafe Coffee Day 2,006.49 1,113.50"
"IN04 0005 6789 0123 02/11/2024 UPI Payment 11,746.75 12,860.25"
"IN04 0005 6789 0123 02/11/2024 Mutual Fund SIP 670.74 12,189.51"
"IN04 0005 6789 0123 02/11/2024 Mobile Recharge 1,338.05 10,851.46"
"IN04 0005 6789 0123 03/11/2024 Credit Card Payment 5,670.36 5,181.10"
"IN04 0005 6789 0123 04/11/2024 Stock Purchase 337.52 4,843.58"
"IN04 0005 6789 0123 04/11/2024 Term Plan 1,080.19 3,763.39"
"IN04 0005 6789 0123 05/11/2024 Uber Ride 2,991.18 772.21"
IN04 0005 6789 0123 05/11/2024 UPI Payment 237.55 534.66
IN04 0005 6789 0123 05/11/2024 Amazon Purchase 202.12 332.54
IN04 0005 6789 0123 07/11/2024 Mall Shopping 204.10 128.44
IN04 0005 6789 0123 07/11/2024 Electricity Bill 85.45 42.99
IN04 0005 6789 0123 07/11/2024 Amazon Purchase 158.82 -115.83
IN04 0005 6789 0123 08/11/2024 FD Opening 88.20 -204.03
"IN04 0005 6789 0123 08/11/2024 Refund - Flipkart 4,702.16 4,498.13"
"IN04 0005 6789 0123 09/11/2024 Grocery - BigBasket 2,158.79 2,339.34"
"IN04 0005 6789 0123 09/11/2024 Airport Cab 301.22 2,038.12"
"IN04 0005 6789 0123 09/11/2024 Internet Bill 272.42 1,765.70"
"IN04 0005 6789 0123 10/11/2024 Netflix Subscription 1,054.76 710.94"
"IN04 0005 6789 0123 10/11/2024 Bonus Credit 24,712.06 25,423.00"
"IN04 0005 6789 0123 13/11/2024 Postpaid Bill 110.13 25,312.87"
"IN04 0005 6789 0123 15/11/2024 Hotel Booking 17,232.97 8,079.90"
"IN04 0005 6789 0123 15/11/2024 Insurance Premium 3,734.24 4,345.66"
"IN04 0005 6789 0123 16/11/2024 ATM Withdrawal 316.30 4,029.36"
"IN04 0005 6789 0123 16/11/2024 Bonus Credit 13,183.93 17,213.29"
"IN04 0005 6789 0123 16/11/2024 Electricity Bill 4,595.56 12,617.73"
"IN04 0005 6789 0123 17/11/2024 Loan Repayment 6,784.66 5,833.07"
"IN04 0005 6789 0123 17/11/2024 Netflix Subscription 543.52 5,289.55"
"IN04 0005 6789 0123 17/11/2024 UPI Received 296.20 4,993.35"
"IN04 0005 6789 0123 18/11/2024 Cafe Coffee Day 456.89 4,536.46"
"IN04 0005 6789 0123 18/11/2024 Stock Purchase 297.66 4,238.80"
"IN04 0005 6789 0123 18/11/2024 Cafe Coffee Day 1,953.58 2,285.22"
"IN04 0005 6789 0123 20/11/2024 Loan Repayment 164.81 2,120.41"
"IN04 0005 6789 0123 20/11/2024 Ola Ride 245.92 1,874.49"
"IN04 0005 6789 0123 21/11/2024 Hospital Bill 116.88 1,757.61"
"IN04 0005 6789 0123 21/11/2024 Flight Ticket - IndiGo 233.20 1,524.41"
"IN04 0005 6789 0123 22/11/2024 Freelance Payment 55,223.33 56,747.74"
"IN04 0005 6789 0123 22/11/2024 Hospital Bill 16,627.93 40,119.81"
"IN04 0005 6789 0123 22/11/2024 Mall Shopping 5,261.88 34,857.93"
"IN04 0005 6789 0123 23/11/2024 Water Bill 1,811.45 33,046.48"
"IN04 0005 6789 0123 23/11/2024 Airport Cab 14,422.33 18,624.15"
"IN04 0005 6789 0123 24/11/2024 Broadband Bill 595.92 18,028.23"
"IN04 0005 6789 0123 25/11/2024 Insurance Premium 8,633.17 9,395.06"
"IN04 0005 6789 0123 25/11/2024 Refund - Flipkart 435.15 9,830.21"
"IN04 0005 6789 0123 25/11/2024 ATM Withdrawal 6,812.79 3,017.42"
"IN04 0005 6789 0123 26/11/2024 Zomato Order 2,249.53 767.89"
"IN04 0005 6789 0123 26/11/2024 Refund - Flipkart 2,522.26 3,290.15"
"IN04 0005 6789 0123 27/11/2024 Mall Shopping 311.74 2,978.41"
"IN04 0005 6789 0123 27/11/2024 Stock Purchase 280.31 2,698.10"
"IN04 0005 6789 0123 30/11/2024 Mobile Recharge 687.67 2,010.43"
"IN04 0005 6789 0123 01/12/2024 UPI Received 8,802.26 10,812.69"
"IN04 0005 6789 0123 02/12/2024 ATM Withdrawal 7,720.00 3,092.69"
"IN04 0005 6789 0123 03/12/2024 Grocery - BigBasket 2,249.90 842.79"
"IN04 0005 6789 0123 03/12/2024 Salary Credit 57,448.79 58,291.58"
"IN04 0005 6789 0123 04/12/2024 Airport Cab 10,746.35 47,545.23"
"IN04 0005 6789 0123 04/12/2024 Term Plan 8,085.96 39,459.27"
"IN04 0005 6789 0123 04/12/2024 Loan Repayment 4,288.02 35,171.25"
"IN04 0005 6789 0123 05/12/2024 RD Installment 18,969.51 16,201.74"
"IN04 0005 6789 0123 06/12/2024 Bonus Credit 33,617.25 49,818.99"
"IN04 0005 6789 0123 07/12/2024 Cash Deposit 14,190.81 35,628.18"
"IN04 0005 6789 0123 07/12/2024 Refund - Amazon 4,977.05 40,605.23"
"IN04 0005 6789 0123 07/12/2024 EMI Debit 3,599.50 37,005.73"
"IN04 0005 6789 0123 09/12/2024 Mall Shopping 11,299.17 25,706.56"
"IN04 0005 6789 0123 09/12/2024 NEFT Inward 4,168.14 21,538.42"
"IN04 0005 6789 0123 09/12/2024 UPI Payment 1,127.18 20,411.24"
"IN04 0005 6789 0123 10/12/2024 Bonus Credit 13,587.58 33,998.82"
"IN04 0005 6789 0123 10/12/2024 Term Plan 14,283.00 19,715.82"
"IN04 0005 6789 0123 10/12/2024 Prime Video 677.52 19,038.30"
"IN04 0005 6789 0123 11/12/2024 Grocery - BigBasket 1,972.91 17,065.39"
"IN04 0005 6789 0123 11/12/2024 Rental Income 25,070.69 42,136.08"
"IN04 0005 6789 0123 11/12/2024 Cash Deposit 6,494.24 35,641.84"
"IN04 0005 6789 0123 12/12/2024 ATM Withdrawal 581.07 35,060.77"
"IN04 0005 6789 0123 12/12/2024 GST Refund 211.74 35,272.51"
"IN04 0005 6789 0123 12/12/2024 Zomato Order 1,993.03 33,279.48"
"IN04 0005 6789 0123 13/12/2024 Spotify Premium 1,442.78 31,836.70"
"IN04 0005 6789 0123 13/12/2024 Hotel Booking 16,805.47 15,031.23"
"IN04 0005 6789 0123 14/12/2024 Bus Pass 1,951.08 13,080.15"
"IN04 0005 6789 0123 14/12/2024 Insurance Premium 773.80 12,306.35"
"IN04 0005 6789 0123 14/12/2024 Internet Bill 4,889.04 7,417.31"
"IN04 0005 6789 0123 15/12/2024 IRCTC Ticket 463.97 6,953.34"
"IN04 0005 6789 0123 17/12/2024 Salary Credit 52,358.08 59,311.42"
"IN04 0005 6789 0123 18/12/2024 Car Insurance 12,641.40 46,670.02"
"IN04 0005 6789 0123 18/12/2024 Gas Bill 1,098.44 45,571.58"
"IN04 0005 6789 0123 18/12/2024 Amazon Purchase 6,673.83 38,897.75"
"IN04 0005 6789 0123 19/12/2024 Cafe Coffee Day 1,792.33 37,105.42"
"IN04 0005 6789 0123 21/12/2024 Zomato Order 2,459.86 34,645.56"
"IN04 0005 6789 0123 21/12/2024 Cash Deposit 4,137.83 30,507.73"
"IN04 0005 6789 0123 21/12/2024 ATM Withdrawal 6,289.99 24,217.74"
"IN04 0005 6789 0123 22/12/2024 Broadband Bill 1,178.32 23,039.42"
"IN04 0005 6789 0123 24/12/2024 Flipkart Order 9,486.08 13,553.34"
"IN04 0005 6789 0123 24/12/2024 ATM Withdrawal 2,663.16 10,890.18"
"IN04 0005 6789 0123 27/12/2024 Lab Test 572.14 10,318.04"
"IN04 0005 6789 0123 28/12/2024 Car Insurance 565.42 9,752.62"
"IN04 0005 6789 0123 28/12/2024 Mall Shopping 576.24 9,176.38"
"IN04 0005 6789 0123 28/12/2024 Mutual Fund SIP 548.60 8,627.78"
"IN04 0005 6789 0123 29/12/2024 Cash Deposit 475.55 8,152.23"
"IN04 0005 6789 0123 29/12/2024 Zomato Order 1,676.39 6,475.84"
"IN04 0006 7890 1234 01/01/2024 Prime Video 1,492.88 31,607.12"
"IN04 0006 7890 1234 01/01/2024 NEFT Inward 399.58 31,207.54"
"IN04 0006 7890 1234 02/01/2024 Refund - Amazon 1,004.58 32,212.12"
"IN04 0006 7890 1234 02/01/2024 Cafe Coffee Day 135.75 32,076.37"
"IN04 0006 7890 1234 03/01/2024 Fuel - HPCL 388.63 31,687.74"
"IN04 0006 7890 1234 04/01/2024 Grocery - BigBasket 415.33 31,272.41"
"IN04 0006 7890 1234 06/01/2024 Lab Test 9,683.34 21,589.07"
"IN04 0006 7890 1234 08/01/2024 Postpaid Bill 1,012.35 20,576.72"
"IN04 0006 7890 1234 08/01/2024 RD Installment 1,218.64 19,358.08"
"IN04 0006 7890 1234 09/01/2024 Hospital Bill 4,037.74 15,320.34"
"IN04 0006 7890 1234 10/01/2024 Flight Ticket - IndiGo 921.64 14,398.70"
"IN04 0006 7890 1234 10/01/2024 Hospital Bill 911.15 13,487.55"
"IN04 0006 7890 1234 11/01/2024 Airport Cab 826.32 12,661.23"
"IN04 0006 7890 1234 11/01/2024 Car Insurance 9,532.21 3,129.02"
"IN04 0006 7890 1234 11/01/2024 UPI Received 237.50 2,891.52"
"IN04 0006 7890 1234 13/01/2024 Electricity Bill 202.66 2,688.86"
"IN04 0006 7890 1234 13/01/2024 IRCTC Ticket 311.12 2,377.74"
"IN04 0006 7890 1234 13/01/2024 Rental Income 34,873.00 37,250.74"
"IN04 0006 7890 1234 15/01/2024 Loan Repayment 13,452.22 23,798.52"
"IN04 0006 7890 1234 16/01/2024 Spotify Premium 200.77 23,597.75"
"IN04 0006 7890 1234 17/01/2024 Spotify Premium 1,191.10 22,406.65"
"IN04 0006 7890 1234 17/01/2024 Amazon Purchase 4,915.12 17,491.53"
"IN04 0006 7890 1234 19/01/2024 Metro Card Recharge 1,724.03 15,767.50"
"IN04 0006 7890 1234 19/01/2024 Spotify Premium 885.86 14,881.64"
"IN04 0006 7890 1234 20/01/2024 Health Insurance 4,322.29 10,559.35"
"IN04 0006 7890 1234 20/01/2024 Ola Ride 1,704.83 8,854.52"
"IN04 0006 7890 1234 20/01/2024 Postpaid Bill 1,424.73 7,429.79"
"IN04 0006 7890 1234 22/01/2024 Cash Deposit 442.31 6,987.48"
"IN04 0006 7890 1234 22/01/2024 Ola Ride 2,418.04 4,569.44"
"IN04 0006 7890 1234 22/01/2024 Mutual Fund SIP 318.51 4,250.93"
"IN04 0006 7890 1234 24/01/2024 DTH Recharge 1,701.69 2,549.24"
"IN04 0006 7890 1234 24/01/2024 Hotel Booking 191.62 2,357.62"
"IN04 0006 7890 1234 24/01/2024 ATM Withdrawal 181.91 2,175.71"
"IN04 0006 7890 1234 25/01/2024 Cafe Coffee Day 126.22 2,049.49"
"IN04 0006 7890 1234 25/01/2024 ATM Withdrawal 130.55 1,918.94"
"IN04 0006 7890 1234 25/01/2024 Loan Repayment 158.13 1,760.81"
"IN04 0006 7890 1234 26/01/2024 Flight Ticket - IndiGo 157.54 1,603.27"
"IN04 0006 7890 1234 26/01/2024 UPI Payment 176.53 1,426.74"
